PID,Environment,Condition,Phase,Trial,Target_Distance,Distance_Travelled,prop
1,0,1,0,1,3,2.386353848,0.795451283
1,0,1,0,2,4,3.2093194,0.80232985
1,0,1,0,3,3,2.717579935,0.905859978
1,0,1,0,4,3,2.691499057,0.897166352
1,0,1,0,5,4,3.843208993,0.960802248
1,0,1,0,6,2,1.884816792,0.942408396
1,0,1,0,7,3,3.07565668,1.025218893
1,0,1,0,8,4,4.230628409,1.057657102
1,0,1,0,9,4,4.2146991,1.053674775
1,0,1,0,10,4,4.060136798,1.0150342
1,0,1,0,11,3,3.033007098,1.011002366
1,0,1,0,12,2,2.096345501,1.048172751
1,0,1,0,13,2,2.100075251,1.050037626
1,0,1,0,14,2,2.058924842,1.029462421
1,0,1,0,15,2,1.896233513,0.948116757
1,0,1,2,31,2,2.517684022,1.258842011
1,0,1,2,32,2,2.178559449,1.089279725
1,0,1,2,33,4,4.325406022,1.081351506
1,0,1,2,34,4,4.875251886,1.218812972
1,0,1,2,35,3,2.937359479,0.979119826
1,0,1,2,36,3,3.488102931,1.162700977
1,0,1,2,37,4,3.727312454,0.931828114
1,0,1,2,38,4,3.761589427,0.940397357
1,0,1,2,39,4,4.321015823,1.080253956
1,0,1,2,40,3,3.058093832,1.019364611
1,0,1,2,41,3,3.085498141,1.02849938
1,0,1,2,42,2,2.138207137,1.069103569
1,0,1,2,43,2,1.997250089,0.998625045
1,0,1,2,44,2,2.567858278,1.283929139
1,0,1,2,45,3,3.174936361,1.05831212
2,0,2,0,1,2,1.62233839,0.811169195
2,0,2,0,2,2,1.328459592,0.664229796
2,0,2,0,3,4,2.983570486,0.745892622
2,0,2,0,4,3,1.823201672,0.607733891
2,0,2,0,5,4,2.935313175,0.733828294
2,0,2,0,6,3,2.143711287,0.714570429
2,0,2,0,7,3,2.321644728,0.773881576
2,0,2,0,8,2,1.432392845,0.716196423
2,0,2,0,9,4,2.918304592,0.729576148
2,0,2,0,10,4,2.844068484,0.711017121
2,0,2,0,11,3,2.191593202,0.730531067
2,0,2,0,12,3,2.564381741,0.854793914
2,0,2,0,13,2,1.586418078,0.793209039
2,0,2,0,14,2,1.378473282,0.689236641
2,0,2,0,15,4,2.938184937,0.734546234
2,0,2,2,31,3,1.647831894,0.549277298
2,0,2,2,32,3,2.195373599,0.7317912
2,0,2,2,33,4,2.897017075,0.724254269
2,0,2,2,34,3,1.830210746,0.610070249
2,0,2,2,35,4,2.808096686,0.702024172
2,0,2,2,36,2,1.474037363,0.737018682
2,0,2,2,37,3,2.065836217,0.688612072
2,0,2,2,38,4,3.082557532,0.770639383
2,0,2,2,39,2,1.298245384,0.649122692
2,0,2,2,40,3,2.364984877,0.788328292
2,0,2,2,41,2,1.427623798,0.713811899
2,0,2,2,42,2,1.503582449,0.751791225
2,0,2,2,43,4,3.177279194,0.794319799
2,0,2,2,44,4,3.072651127,0.768162782
2,0,2,2,45,2,1.413454676,0.706727338
3,0,2,0,2,4,3.719996178,0.929999045
3,0,2,0,3,2,1.763133694,0.881566847
3,0,2,0,4,3,2.793581531,0.931193844
3,0,2,0,5,3,2.843796074,0.947932025
3,0,2,0,6,3,2.853743152,0.951247717
3,0,2,0,7,4,4.180771473,1.045192868
3,0,2,0,8,4,4.000813726,1.000203432
3,0,2,0,9,3,2.787286088,0.929095363
3,0,2,0,10,4,4.280682467,1.070170617
3,0,2,0,11,2,1.766250797,0.883125399
3,0,2,0,12,4,3.964864366,0.991216092
3,0,2,0,13,2,1.917817738,0.958908869
3,0,2,0,14,2,1.734643693,0.867321847
3,0,2,0,15,2,2.00766271,1.003831355
3,0,2,2,31,2,2.099111869,1.049555935
3,0,2,2,32,2,2.068656493,1.034328247
3,0,2,2,33,4,3.962941441,0.99073536
3,0,2,2,34,4,3.776639745,0.944159936
3,0,2,2,35,2,1.524130445,0.762065223
3,0,2,2,36,3,3.049519233,1.016506411
3,0,2,2,37,2,1.840938022,0.920469011
3,0,2,2,40,2,1.911785197,0.955892599
3,0,2,2,41,3,2.909851484,0.969950495
3,0,2,2,42,3,2.858080223,0.952693408
3,0,2,2,43,3,3.013545196,1.004515065
3,0,2,2,44,3,3.110200556,1.036733519
3,0,2,2,45,4,4.74777964,1.18694491
4,0,1,0,1,3,2.66006685,0.88668895
4,0,1,0,2,4,3.377471403,0.844367851
4,0,1,0,3,2,1.538165238,0.769082619
4,0,1,0,4,2,1.472227481,0.736113741
4,0,1,0,5,2,1.375527904,0.687763952
4,0,1,0,6,2,1.646958698,0.823479349
4,0,1,0,7,3,2.562679217,0.854226406
4,0,1,0,8,2,1.613461297,0.806730649
4,0,1,0,9,3,2.373420645,0.791140215
4,0,1,0,10,4,3.651486309,0.912871577
4,0,1,0,11,3,2.442921218,0.814307073
4,0,1,0,12,3,2.423686373,0.807895458
4,0,1,0,13,4,3.301827074,0.825456769
4,0,1,0,14,4,3.352150474,0.838037619
4,0,1,0,15,4,3.764731401,0.94118285
4,0,1,2,31,3,3.129490255,1.043163418
4,0,1,2,32,4,4.071945167,1.017986292
4,0,1,2,33,2,1.959990841,0.979995421
4,0,1,2,34,2,2.018487058,1.009243529
4,0,1,2,35,2,2.173136301,1.086568151
4,0,1,2,36,2,1.945143209,0.972571605
4,0,1,2,37,2,1.862087012,0.931043506
4,0,1,2,38,4,4.149617979,1.037404495
4,0,1,2,39,4,4.069926076,1.017481519
4,0,1,2,40,3,3.072438466,1.024146155
4,0,1,2,41,4,4.404061589,1.101015397
4,0,1,2,42,3,2.787964038,0.929321346
4,0,1,2,43,3,3.0555822,1.0185274
4,0,1,2,44,3,3.015447293,1.005149098
4,0,1,2,45,4,4.414639625,1.103659906
5,0,2,0,4,4,3.80871748,0.95217937
5,0,2,0,5,2,1.476962064,0.738481032
5,0,2,0,6,2,1.539943313,0.769971657
5,0,2,0,7,2,1.525875747,0.762937874
5,0,2,0,8,2,1.334296224,0.667148112
5,0,2,0,9,4,4.115602601,1.02890065
5,0,2,0,10,4,4.153519947,1.038379987
5,0,2,0,11,2,1.644920164,0.822460082
5,0,2,0,12,3,2.624488929,0.874829643
5,0,2,0,13,3,2.313575825,0.771191942
5,0,2,0,14,3,2.699188268,0.899729423
5,0,2,0,15,3,2.616889913,0.872296638
5,0,2,2,31,2,1.924623986,0.962311993
5,0,2,2,32,2,1.536639263,0.768319632
5,0,2,2,33,4,4.384008086,1.096002022
5,0,2,2,34,3,2.916322195,0.972107398
5,0,2,2,35,3,2.792583828,0.930861276
5,0,2,2,36,3,2.712896096,0.904298699
5,0,2,2,37,3,2.979475375,0.993158458
5,0,2,2,38,3,3.095559063,1.031853021
5,0,2,2,39,4,4.036426686,1.009106672
5,0,2,2,40,4,4.081028966,1.020257242
5,0,2,2,41,2,1.75309175,0.876545875
5,0,2,2,42,2,1.653484651,0.826742326
5,0,2,2,43,2,1.831642866,0.915821433
5,0,2,2,44,4,4.074699435,1.018674859
5,0,2,2,45,4,3.819915918,0.95497898
6,0,1,0,1,4,3.241921129,0.810480282
6,0,1,0,2,3,2.164046816,0.721348939
6,0,1,0,3,2,1.421924795,0.710962398
6,0,1,0,4,4,3.655500664,0.913875166
6,0,1,0,5,2,1.545898194,0.772949097
6,0,1,0,6,2,1.6354953,0.81774765
6,0,1,0,7,2,1.616054334,0.808027167
6,0,1,0,8,3,2.824223821,0.94140794
6,0,1,0,9,2,1.551933492,0.775966746
6,0,1,0,10,3,2.638427147,0.879475716
6,0,1,0,11,4,3.960372334,0.990093084
6,0,1,0,12,3,2.673452374,0.891150791
6,0,1,0,13,4,4.003890617,1.000972654
6,0,1,0,14,3,2.781913665,0.927304555
6,0,1,0,15,4,4.125169321,1.03129233
6,0,1,2,31,2,2.401731108,1.200865554
6,0,1,2,32,4,4.504164079,1.12604102
6,0,1,2,33,2,2.313582364,1.156791182
6,0,1,2,34,2,2.093761012,1.046880506
6,0,1,2,35,3,3.557731213,1.185910404
6,0,1,2,36,3,3.426411534,1.142137178
6,0,1,2,37,3,2.86112626,0.953708753
6,0,1,2,38,4,4.777998035,1.194499509
6,0,1,2,39,3,3.221621116,1.073873705
6,0,1,2,40,3,3.021773587,1.007257862
6,0,1,2,41,2,1.700124626,0.850062313
6,0,1,2,42,4,4.711755008,1.177938752
6,0,1,2,43,2,1.811685705,0.905842853
6,0,1,2,44,4,4.691419923,1.172854981
6,0,1,2,45,4,4.738610843,1.184652711
7,0,1,0,1,3,2.548640209,0.849546736
7,0,1,0,2,3,2.448237478,0.816079159
7,0,1,0,3,3,2.623128185,0.874376062
7,0,1,0,4,3,2.622339181,0.87411306
7,0,1,0,5,3,2.551771469,0.85059049
7,0,1,0,6,4,3.829478656,0.957369664
7,0,1,0,7,2,1.615589459,0.80779473
7,0,1,0,8,4,3.589761522,0.897440381
7,0,1,0,9,4,3.743079807,0.935769952
7,0,1,0,10,2,1.724071325,0.862035663
7,0,1,0,11,2,1.664807973,0.832403987
7,0,1,0,12,2,1.651468124,0.825734062
7,0,1,0,13,4,3.66999546,0.917498865
7,0,1,0,14,2,1.752905627,0.876452814
7,0,1,0,15,4,3.607198458,0.901799615
7,0,1,2,31,4,4.590443345,1.147610836
7,0,1,2,33,3,3.10801917,1.03600639
7,0,1,2,34,2,2.242283224,1.121141612
7,0,1,2,35,2,2.191687247,1.095843624
7,0,1,2,36,2,2.431063862,1.215531931
7,0,1,2,37,3,3.711629828,1.237209943
7,0,1,2,38,2,2.096992872,1.048496436
7,0,1,2,39,4,4.586697322,1.146674331
7,0,1,2,40,4,4.267834732,1.066958683
7,0,1,2,41,4,4.108337654,1.027084414
7,0,1,2,42,4,4.484895655,1.121223914
7,0,1,2,43,3,3.153703826,1.051234609
7,0,1,2,44,3,3.337093209,1.112364403
7,0,1,2,45,3,3.294690472,1.098230157
8,0,2,0,1,3,1.786596287,0.595532096
8,0,2,0,2,2,1.279582953,0.639791477
8,0,2,0,3,4,3.063762193,0.765940548
8,0,2,0,4,3,2.179077967,0.726359322
8,0,2,0,5,2,1.435950016,0.717975008
8,0,2,0,6,4,3.291582955,0.822895739
8,0,2,0,7,2,1.533590921,0.766795461
8,0,2,0,8,2,1.393943393,0.696971697
8,0,2,0,9,2,1.444954938,0.722477469
8,0,2,0,10,4,3.372482858,0.843120715
8,0,2,0,11,4,3.258373998,0.8145935
8,0,2,0,12,3,2.30773254,0.76924418
8,0,2,0,13,4,3.190472984,0.797618246
8,0,2,0,14,3,2.727326767,0.909108922
8,0,2,0,15,3,2.35330109,0.784433697
8,0,2,2,31,4,2.824677053,0.706169263
8,0,2,2,32,2,1.263029112,0.631514556
8,0,2,2,33,2,1.35558611,0.677793055
8,0,2,2,34,2,1.455256891,0.727628446
8,0,2,2,35,4,2.9240784,0.7310196
8,0,2,2,36,2,1.406399576,0.703199788
8,0,2,2,37,4,3.17617565,0.794043913
8,0,2,2,38,3,2.377119513,0.792373171
8,0,2,2,39,4,3.561451536,0.890362884
8,0,2,2,40,4,3.257548622,0.814387156
8,0,2,2,41,2,1.6206933,0.81034665
8,0,2,2,42,3,2.438325075,0.812775025
8,0,2,2,43,3,2.299273024,0.766424341
8,0,2,2,44,3,2.480253301,0.8267511
8,0,2,2,45,3,2.688627241,0.89620908
9,0,1,0,1,2,1.742863617,0.871431809
9,0,1,0,2,4,4.249441618,1.062360405
9,0,1,0,3,4,3.173400223,0.793350056
9,0,1,0,4,3,2.241009749,0.74700325
9,0,1,0,5,3,2.63716173,0.87905391
9,0,1,0,6,3,2.744501935,0.914833978
9,0,1,0,7,2,1.787254697,0.893627349
9,0,1,0,8,3,2.99117292,0.99705764
9,0,1,0,9,4,4.254409819,1.063602455
9,0,1,0,10,3,2.690571123,0.896857041
9,0,1,0,11,4,5.050877143,1.262719286
9,0,1,0,12,4,3.976803906,0.994200977
9,0,1,0,13,2,1.811538616,0.905769308
9,0,1,0,14,2,2.208546205,1.104273103
9,0,1,0,15,2,2.248479151,1.124239576
9,0,1,2,31,4,5.534647584,1.383661896
9,0,1,2,32,4,6.036251154,1.509062789
9,0,1,2,33,3,3.586152141,1.195384047
9,0,1,2,34,3,3.389099117,1.129699706
9,0,1,2,35,2,2.168542614,1.084271307
9,0,1,2,37,2,2.262598706,1.131299353
9,0,1,2,38,2,2.38450245,1.192251225
9,0,1,2,39,4,5.521269314,1.380317329
9,0,1,2,40,3,3.497341493,1.165780498
9,0,1,2,41,2,2.388729477,1.194364739
9,0,1,2,42,3,4.016362526,1.338787509
9,0,1,2,43,4,5.897895723,1.474473931
9,0,1,2,44,3,3.654837551,1.218279184
9,0,1,2,45,2,2.353077045,1.176538523
10,0,2,0,1,3,2.341270796,0.780423599
10,0,2,0,2,3,2.321021557,0.773673852
10,0,2,0,3,2,1.53673289,0.768366445
10,0,2,0,4,4,3.875757636,0.968939409
10,0,2,0,5,3,2.59050129,0.86350043
10,0,2,0,6,4,3.840391372,0.960097843
10,0,2,0,7,2,1.589612127,0.794806064
10,0,2,0,8,4,4.011116814,1.002779204
10,0,2,0,9,2,1.724146973,0.862073487
10,0,2,0,10,4,4.157387867,1.039346967
10,0,2,0,11,2,1.815406175,0.907703088
10,0,2,0,12,2,1.883757321,0.941878661
10,0,2,0,13,3,2.76152902,0.920509673
10,0,2,0,14,3,3.039347247,1.013115749
10,0,2,0,15,4,3.896164719,0.97404118
10,0,2,2,31,3,2.482406726,0.827468909
10,0,2,2,32,2,1.580836638,0.790418319
10,0,2,2,33,4,3.335344203,0.833836051
10,0,2,2,34,2,1.746942544,0.873471272
10,0,2,2,35,2,2.013279869,1.006639935
10,0,2,2,36,2,2.032201465,1.016100733
10,0,2,2,37,3,3.422074313,1.140691438
10,0,2,2,38,2,2.031804456,1.015902228
10,0,2,2,39,3,3.222211587,1.074070529
10,0,2,2,40,4,4.102884675,1.025721169
10,0,2,2,41,4,4.085892427,1.021473107
10,0,2,2,43,3,2.980504518,0.993501506
10,0,2,2,44,3,3.11915003,1.039716677
10,0,2,2,45,4,4.083315785,1.020828946
11,0,1,0,1,3,2.371663327,0.790554442
11,0,1,0,2,4,3.654565129,0.913641282
11,0,1,0,3,2,1.524384159,0.76219208
11,0,1,0,4,3,2.553167641,0.85105588
11,0,1,0,5,3,2.347707532,0.782569177
11,0,1,0,6,2,1.568397258,0.784198629
11,0,1,0,7,4,3.413017019,0.853254255
11,0,1,0,8,2,1.333415432,0.666707716
11,0,1,0,9,4,3.515624255,0.878906064
11,0,1,0,10,3,2.3147458,0.771581933
11,0,1,0,11,4,3.436184845,0.859046211
11,0,1,0,12,4,3.99019044,0.99754761
11,0,1,0,13,2,1.46675931,0.733379655
11,0,1,0,14,3,2.408543141,0.802847714
11,0,1,0,15,2,1.394704312,0.697352156
11,0,1,2,32,4,4.161442389,1.040360597
11,0,1,2,33,3,2.557252371,0.852417457
11,0,1,2,34,4,4.019170855,1.004792714
11,0,1,2,35,3,2.361981282,0.787327094
11,0,1,2,36,3,2.796441719,0.93214724
11,0,1,2,37,2,1.639468458,0.819734229
11,0,1,2,38,3,2.442666083,0.814222028
11,0,1,2,39,4,4.025618281,1.00640457
11,0,1,2,40,4,3.414370302,0.853592576
11,0,1,2,41,3,2.247497929,0.749165976
11,0,1,2,42,4,3.684574561,0.92114364
11,0,1,2,43,2,1.566064152,0.783032076
11,0,1,2,44,2,1.554928648,0.777464324
11,0,1,2,45,2,1.776412348,0.888206174
12,0,1,0,1,4,3.268253297,0.817063324
12,0,1,0,2,2,1.7615145,0.88075725
12,0,1,0,3,3,2.782343836,0.927447945
12,0,1,0,4,4,4.031069353,1.007767338
12,0,1,0,5,2,1.674469088,0.837234544
12,0,1,0,6,2,2.086974186,1.043487093
12,0,1,0,7,3,3.066856275,1.022285425
12,0,1,0,8,3,2.86504287,0.95501429
12,0,1,0,9,4,3.924871688,0.981217922
12,0,1,0,10,4,3.830820624,0.957705156
12,0,1,0,11,2,2.145019894,1.072509947
12,0,1,0,12,3,2.923134274,0.974378091
12,0,1,0,13,2,1.772636927,0.886318464
12,0,1,0,14,3,2.847511937,0.949170646
12,0,1,0,15,4,3.553604525,0.888401131
12,0,1,2,31,2,2.512801248,1.256400624
12,0,1,2,32,4,4.576754617,1.144188654
12,0,1,2,33,2,2.250064191,1.125032096
12,0,1,2,34,3,3.123348271,1.04111609
12,0,1,2,35,4,4.431795994,1.107948999
12,0,1,2,36,4,4.396146019,1.099036505
12,0,1,2,37,4,4.282345097,1.070586274
12,0,1,2,38,3,2.483657735,0.827885912
12,0,1,2,39,3,3.12549853,1.041832843
12,0,1,2,40,4,4.228284301,1.057071075
12,0,1,2,41,3,2.931757449,0.977252483
12,0,1,2,42,2,2.371717668,1.185858834
12,0,1,2,43,2,2.207631768,1.103815884
12,0,1,2,44,3,3.536608232,1.178869411
12,0,1,2,45,2,2.262906636,1.131453318
13,0,2,0,2,4,3.70249409,0.925623523
13,0,2,0,3,4,2.99315124,0.74828781
13,0,2,0,4,4,3.482537318,0.87063433
13,0,2,0,5,4,3.696813583,0.924203396
13,0,2,0,6,3,2.279618147,0.759872716
13,0,2,0,7,3,2.322411182,0.774137061
13,0,2,0,8,3,2.418816883,0.806272294
13,0,2,0,9,2,1.310470271,0.655235136
13,0,2,0,10,3,2.38507398,0.79502466
13,0,2,0,11,2,1.34240502,0.67120251
13,0,2,0,12,3,2.766986899,0.922328966
13,0,2,0,13,2,1.46632644,0.73316322
13,0,2,0,14,2,1.580860318,0.790430159
13,0,2,0,15,2,1.672512384,0.836256192
13,0,2,2,31,2,1.37742704,0.68871352
13,0,2,2,32,4,3.815203291,0.953800823
13,0,2,2,33,2,1.470028004,0.735014002
13,0,2,2,34,2,1.520268134,0.760134067
13,0,2,2,35,3,2.796386796,0.932128932
13,0,2,2,36,2,1.522685622,0.761342811
13,0,2,2,37,2,1.54686872,0.77343436
13,0,2,2,38,3,2.867031941,0.955677314
13,0,2,2,39,4,4.222349651,1.055587413
13,0,2,2,40,3,2.80548165,0.93516055
13,0,2,2,41,4,3.641562601,0.91039065
13,0,2,2,42,4,3.702611379,0.925652845
13,0,2,2,43,4,4.029793103,1.007448276
13,0,2,2,44,3,2.77204338,0.92401446
13,0,2,2,45,3,2.603758046,0.867919349
14,0,2,0,1,2,1.667790999,0.8338955
14,0,2,0,2,2,2.372833375,1.186416688
14,0,2,0,3,2,2.154049335,1.077024668
14,0,2,0,4,3,3.086424323,1.028808108
14,0,2,0,5,4,4.550816032,1.137704008
14,0,2,0,6,3,3.379364613,1.126454871
14,0,2,0,7,3,3.134284659,1.044761553
14,0,2,0,8,4,5.50771743,1.376929358
14,0,2,0,9,2,1.901610998,0.950805499
14,0,2,0,10,3,3.947227618,1.315742539
14,0,2,0,11,3,3.177930382,1.059310127
14,0,2,0,12,2,2.065307164,1.032653582
14,0,2,0,13,4,5.409500624,1.352375156
14,0,2,0,14,4,5.029113516,1.257278379
14,0,2,0,15,4,4.575257412,1.143814353
14,0,2,2,31,4,3.294203561,0.82355089
14,0,2,2,32,4,3.413574226,0.853393557
14,0,2,2,33,3,2.424490724,0.808163575
14,0,2,2,34,2,1.735110746,0.867555373
14,0,2,2,35,3,3.225154178,1.075051393
14,0,2,2,36,4,4.162569057,1.040642264
14,0,2,2,37,3,3.134835579,1.044945193
14,0,2,2,38,4,4.37367317,1.093418293
14,0,2,2,39,2,1.842505059,0.92125253
14,0,2,2,40,4,4.479869927,1.119967482
14,0,2,2,41,3,3.075798825,1.025266275
14,0,2,2,42,3,3.020359444,1.006786481
14,0,2,2,43,2,1.837979716,0.918989858
14,0,2,2,44,2,1.887826129,0.943913065
14,0,2,2,45,2,2.228124811,1.114062406
15,0,2,0,1,2,1.593197764,0.796598882
15,0,2,0,2,4,3.172074626,0.793018657
15,0,2,0,3,3,2.070096447,0.690032149
15,0,2,0,4,3,2.494757274,0.831585758
15,0,2,0,5,2,1.294780395,0.647390198
15,0,2,0,6,4,3.323000651,0.830750163
15,0,2,0,7,3,2.072123035,0.690707678
15,0,2,0,8,4,3.546116091,0.886529023
15,0,2,0,9,2,1.410564574,0.705282287
15,0,2,0,10,4,3.737413512,0.934353378
15,0,2,0,11,2,1.346270869,0.673135435
15,0,2,0,12,2,1.568491407,0.784245704
15,0,2,0,13,3,2.572053041,0.857351014
15,0,2,0,14,4,3.756944206,0.939236052
15,0,2,0,15,3,2.410148165,0.803382722
15,0,2,2,31,2,1.398700265,0.699350133
15,0,2,2,32,4,3.085928857,0.771482214
15,0,2,2,33,3,1.928544903,0.642848301
15,0,2,2,34,2,1.248692024,0.624346012
15,0,2,2,35,3,2.24643651,0.74881217
15,0,2,2,36,2,1.106000805,0.553000403
15,0,2,2,37,3,2.137036357,0.712345452
15,0,2,2,38,3,2.325611312,0.775203771
15,0,2,2,39,4,3.39218073,0.848045183
15,0,2,2,40,4,3.101544579,0.775386145
15,0,2,2,41,4,3.333060107,0.833265027
15,0,2,2,42,3,2.40161578,0.800538593
15,0,2,2,43,4,3.31852477,0.829631193
15,0,2,2,44,2,1.295758135,0.647879068
15,0,2,2,45,2,1.48413952,0.74206976
17,0,2,0,1,2,1.870039724,0.935019862
17,0,2,0,2,3,3.301644386,1.100548129
17,0,2,0,3,4,3.942964315,0.985741079
17,0,2,0,4,4,4.245526819,1.061381705
17,0,2,0,5,4,3.403024739,0.850756185
17,0,2,0,6,4,3.223496778,0.805874195
17,0,2,0,7,3,2.33888455,0.779628183
17,0,2,0,8,2,1.557316512,0.778658256
